1QSX,left,1,1
1QSX,left,2,2
1QSX,left,3,3
1QSX,left,4,4
1QSX,left,5,5
1QSX,right,1,6
1QSX,right,2,7
1QSX,right,3,8
1QSX,right,4,9
1QSX,right,5,10
2TNQ,left,1,11
2TNQ,left,2,12
2TNQ,left,3,13
2TNQ,left,4,14
2TNQ,left,5,15
2TNQ,right,1,16
2TNQ,right,2,17
2TNQ,right,3,18
2TNQ,right,4,19
2TNQ,right,5,20
X8IB,left,1,21
X8IB,left,2,22
X8IB,left,3,23
X8IB,left,4,24
X8IB,left,5,25
X8IB,right,1,26
X8IB,right,2,27
X8IB,right,3,28
X8IB,right,4,29
X8IB,right,5,30
EHTM,left,1,31
EHTM,left,2,32
EHTM,left,3,33
EHTM,left,4,34
EHTM,left,5,35
EHTM,right,1,36
EHTM,right,2,37
EHTM,right,3,38
EHTM,right,4,39
EHTM,right,5,40
1R4J,left,1,41
1R4J,left,2,42
1R4J,left,3,43
1R4J,left,4,44
1R4J,left,5,45
1R4J,right,1,46
1R4J,right,2,47
1R4J,right,3,48
1R4J,right,4,49
1R4J,right,5,50
